Timestamp;TARMA;TULUMAYO;SHEQUE;TAMBORAQUE
1/1/2016;25.1;118.88;12.08;12.96
2/1/2016;21.56;104.63;10.53;12.27
3/1/2016;19.74;93.42;9.07;11.76
4/1/2016;18.77;109.58;8.17;11.32
5/1/2016;18.56;101.13;7.9;11.22
6/1/2016;17.92;93.75;7.25;13.26
7/1/2016;16.57;85.04;6.54;13.03
8/1/2016;16.35;83.29;7.23;11.99
9/1/2016;14.85;73.83;8.32;11.3
10/1/2016;14.16;78.08;6.26;10.98
11/1/2016;13.33;75.88;5.65;10.7
12/1/2016;13.38;87.63;5.63;10.55
13/1/2016;13.22;96.17;4.49;10.33
14/1/2016;11.77;68.75;3.44;9.73
15/1/2016;11.02;67.46;4.79;9.71
16/1/2016;10.8;68.21;4.68;9.63
17/1/2016;16.55;100.63;4.53;10.21
18/1/2016;16.54;97.13;3.98;10.19
19/1/2016;15.78;118.04;5.35;10.48
20/1/2016;18.01;129.38;7.88;10.78
21/1/2016;15.07;107.58;6.1;10.93
22/1/2016;14.06;87.88;4.85;10.65
23/1/2016;12.65;74.46;5.85;10.4
24/1/2016;12.12;66.67;4.38;10.11
25/1/2016;10.92;64.5;5.25;10.04
26/1/2016;11.73;70.96;4.68;10.11
27/1/2016;10.8;65.79;5.91;10.43
28/1/2016;13;107.88;5.8;9.68
29/1/2016;17.43;107.88;5.49;11.46
30/1/2016;22.12;119.96;8.06;12.92
31/1/2016;17.95;91.83;9.16;12.49
1/2/2016;28.49;171.21;6.96;12.12
2/2/2016;25.54;162.88;9.2;12
3/2/2016;23.35;123.67;15.71;19.68
4/2/2016;28.39;128.75;15;16.52
5/2/2016;23.85;102.29;11.29;14.8
6/2/2016;19.97;108.79;9.61;13.72
7/2/2016;29.15;191.04;9.19;13.64
8/2/2016;29.25;210.04;11.76;13.86
9/2/2016;39.04;183.33;13.19;14.62
10/2/2016;50.73;189.17;16.45;16.12
11/2/2016;44.07;171.42;15.12;16.28
12/2/2016;34.06;170.32;14.61;16.8
13/2/2016;37.06;151.75;14.33;16.81
14/2/2016;26.49;125.79;12.91;16.31
15/2/2016;23.1;116;12.01;14.85
16/2/2016;24.7;120.13;9.96;13.71
17/2/2016;21.77;113.79;10.78;15.58
18/2/2016;20.9;129.25;13.28;16.43
19/2/2016;21.26;129.21;13.78;17.57
20/2/2016;19.9;158.79;16.06;17.43
21/2/2016;23.9;177.25;15.36;16.01
22/2/2016;22.13;156.63;13.64;15.85
23/2/2016;32.55;241.75;16.5;17.08
24/2/2016;28.57;194.33;22.8;20.65
25/2/2016;30.88;218.79;23.2;26.52
26/2/2016;29.08;174.29;27.3;41.33
27/2/2016;24.7;151.04;20.85;29.13
28/2/2016;36.86;165.38;20.01;27.08
29/2/2016;37.22;239.17;22.06;46.42
1/3/2016;33.31;209.38;25.38;55.82
2/3/2016;28.9;159.96;19.72;25.8
3/3/2016;26.02;131.88;16.3;22.39
4/3/2016;23.35;116.21;15.18;17.29
5/3/2016;24.3;129.96;15.34;16.67
6/3/2016;20.97;112.33;15.33;17.16
7/3/2016;25.02;159.04;21.94;22.71
8/3/2016;32.57;187.04;21.67;29.29
9/3/2016;28;156.29;24.78;24.67
10/3/2016;28.07;180.75;22.04;21.5
11/3/2016;56.33;223;20.61;20.69
12/3/2016;33.33;162.35;19.27;21.21
13/3/2016;30.56;187.25;20.31;25.82
14/3/2016;28.95;174.75;20.41;25.5
15/3/2016;25.16;163.79;18.23;24.73
16/3/2016;22.7;124.96;16.1;20.32
17/3/2016;22.32;111.64;14.38;17.9
18/3/2016;20.58;105.04;13.24;16
19/3/2016;20.1;102;12.52;15.19
20/3/2016;19.03;111.29;12.02;15.26
21/3/2016;21.14;124.71;12.59;14.84
22/3/2016;21.22;118.71;12.18;14.48
23/3/2016;17.35;118.83;12.97;15.23
24/3/2016;18;120.67;14.34;16.97
25/3/2016;17.14;103.08;11.15;14.85
26/3/2016;17.92;144.8;14.1;14.95
27/3/2016;16.83;105.63;10.2;14.89
28/3/2016;15.11;98.63;14.58;15.22
29/3/2016;14.77;91.43;13.98;16.29
30/3/2016;14.61;95.54;15.77;18.19
31/3/2016;15.31;89.04;15.17;17.32
1/4/2016;14.64;83.71;13.41;15.76
2/4/2016;14.46;78.25;13.78;15.08
3/4/2016;13.84;77.71;13.51;15.18
4/4/2016;13.98;80.13;13.34;14.85
5/4/2016;15;83.79;13.92;15
6/4/2016;15.28;82.92;13.27;14.96
7/4/2016;13.27;72.75;11.98;14.35
8/4/2016;12.75;70.71;13.6;14.36
9/4/2016;13.69;70.96;14.03;15.71
10/4/2016;26.23;81.17;12.94;15.41
11/4/2016;19.07;83.79;13.16;15.72
12/4/2016;18.1;77.29;9.88;15.04
13/4/2016;16.11;71.67;7.13;14.51
14/4/2016;14.45;65.83;9.96;14.3
15/4/2016;13.54;67.63;11.35;14.43
16/4/2016;27.61;87.71;11.17;13.38
17/4/2016;21.84;85.42;8.17;13.35
18/4/2016;23.6;87.92;9.89;13.15
19/4/2016;19.89;77.96;12.3;13.8
20/4/2016;18;72.92;12.04;13.88
21/4/2016;19.1;79.13;13.38;14.82
22/4/2016;17;71.79;13.68;15.22
23/4/2016;23.15;83.17;12.61;14.98
